LECROYSDA6000A 1113 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 22-Oct-2014 11:18:34 0                 
Time Ampl
-2.82519e-008 -0.00337399
-2.81519e-008 -0.00596352
-2.80519e-008 0.0471736
-2.79519e-008 0.0350028
-2.78519e-008 0.0616231
-2.77519e-008 -0.00415085
-2.76519e-008 0.0137169
-2.75519e-008 0.0171869
-2.74519e-008 0.0497113
-2.73519e-008 0.0323097
-2.72519e-008 0.0455163
-2.71519e-008 0.0218998
-2.70519e-008 0.0173422
-2.69519e-008 0.0287361
-2.68519e-008 0.0510061
-2.67519e-008 0.0217962
-2.66519e-008 0.0292023
-2.65519e-008 0.0231428
-2.64519e-008 0.0076056
-2.63519e-008 0.0148045
-2.62519e-008 0.0338116
-2.61519e-008 0.0353135
-2.60519e-008 0.0292023
-2.59519e-008 0.0478986
-2.58519e-008 0.00900395
-2.57519e-008 0.0259395
-2.56519e-008 0.0371262
-2.55519e-008 0.0200871
-2.54519e-008 0.0427714
-2.53519e-008 0.0262502
-2.52519e-008 0.00330699
-2.51519e-008 0.0293058
-2.50519e-008 0.0235053
-2.49519e-008 0.0332937
-2.48519e-008 0.0183262
-2.47519e-008 0.0323097
-2.46519e-008 0.0217444
-2.45519e-008 0.0171869
-2.44519e-008 0.0326204
-2.43519e-008 0.0214337
-2.42519e-008 0.0312221
-2.41519e-008 0.0228838
-2.40519e-008 0.006518
-2.39519e-008 0.0147009
-2.38519e-008 0.034951
-2.37519e-008 0.0231946
-2.36519e-008 0.0167207
-2.35519e-008 0.0211229
-2.34519e-008 0.0054304
-2.33519e-008 0.030497
-2.32519e-008 0.0233499
-2.31519e-008 0.017653
-2.30519e-008 0.0308596
-2.29519e-008 0.023091
-2.28519e-008 0.0168243
-2.27519e-008 0.0317918
-2.26519e-008 0.0227284
-2.25519e-008 0.0260948
-2.24519e-008 0.0612088
-2.23519e-008 0.0246447
-2.22519e-008 0.0276485
-2.21519e-008 0.0299273
-2.20519e-008 0.0511615
-2.19519e-008 0.0197246
-2.18519e-008 0.0415284
-2.17519e-008 0.0378513
-2.16519e-008 0.0197764
-2.15519e-008 0.0293576
