LECROYSDA6000A 1113 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 22-Oct-2014 11:18:34 0                 
Time Ampl
-2.82009e-008 0.0182745
-2.81009e-008 0.0295648
-2.80009e-008 0.0209676
-2.79009e-008 0.032983
-2.78009e-008 0.0204497
-2.77009e-008 0.0286326
-2.76009e-008 0.0509543
-2.75009e-008 -0.000577303
-2.74009e-008 -0.0028043
-2.73009e-008 0.030497
-2.72009e-008 0.0394568
-2.71009e-008 0.0291505
-2.70009e-008 0.0453609
-2.69009e-008 0.0233499
-2.68009e-008 0.0164618
-2.67009e-008 0.0288915
-2.66009e-008 0.0488827
-2.65009e-008 0.0364011
-2.64009e-008 0.0198282
-2.63009e-008 0.00672516
-2.62009e-008 0.00449817
-2.61009e-008 0.0285808
-2.60009e-008 0.0532331
-2.59009e-008 0.00667337
-2.58009e-008 0.0372816
-2.57009e-008 0.0399229
-2.56009e-008 0.00812351
-2.55009e-008 0.0230392
-2.54009e-008 0.0512132
-2.53009e-008 0.023816
-2.52009e-008 0.0268199
-2.51009e-008 0.0336562
-2.50009e-008 0.0255769
-2.49009e-008 0.00128716
-2.48009e-008 0.0425124
-2.47009e-008 0.0389907
-2.46009e-008 0.0311703
-2.45009e-008 0.0325686
-2.44009e-008 0.0160993
-2.43009e-008 0.0600694
-2.42009e-008 0.0145455
-2.41009e-008 0.011956
-2.40009e-008 0.0417874
-2.39009e-008 0.0531813
-2.38009e-008 0.025318
-2.37009e-008 -0.0127481
-2.36009e-008 0.0278039
-2.35009e-008 0.0375923
-2.34009e-008 0.0429268
-2.33009e-008 0.0617267
-2.32009e-008 0.0106095
-2.31009e-008 0.0212783
-2.30009e-008 0.0608981
-2.29009e-008 0.0414248
-2.28009e-008 0.0283736
-2.27009e-008 0.0315846
-2.26009e-008 0.0331383
-2.25009e-008 0.0455681
-2.24009e-008 0.0372816
-2.23009e-008 0.0165654
-2.22009e-008 0.0447912
-2.21009e-008 0.0254733
-2.20009e-008 0.0191031
-2.19009e-008 0.0159439
-2.18009e-008 0.0350546
-2.17009e-008 0.0208122
-2.16009e-008 0.0311703
-2.15009e-008 0.0223141
-2.14009e-008 0.0159957
-2.13009e-008 0.0438072
-2.12009e-008 0.0369708
-2.11009e-008 0.0315846
-2.10009e-008 0.0305488
-2.09009e-008 0.0348474
-2.08009e-008 0.0220552
-2.07009e-008 0.0151152
-2.06009e-008 0.0454127
-2.05009e-008 0.0358832
-2.04009e-008 0.0417356
-2.03009e-008 0.0513168
-2.02009e-008 -0.00244176
-2.01009e-008 0.00988439
-2.00009e-008 0.0372816
-1.99009e-008 0.0199835
-1.98009e-008 0.0573763
-1.97009e-008 0.0143902
-1.96009e-008 0.000251346
-1.95009e-008 0.0275968
-1.94009e-008 0.0405444
-1.93009e-008 0.0193621
-1.92009e-008 0.0295648
-1.91009e-008 0.0216926
-1.90009e-008 0.0211229
-1.89009e-008 0.00563756
-1.88009e-008 0.0170833
-1.87009e-008 0.0325169
-1.86009e-008 0.0364529
-1.85009e-008 0.0172386
-1.84009e-008 0.0333973
-1.83009e-008 0.00491249
-1.82009e-008 0.0441697
-1.81009e-008 0.0233499
-1.80009e-008 0.0306006
-1.79009e-008 0.0323615
-1.78009e-008 0.0234535
-1.77009e-008 0.0130954
-1.76009e-008 0.0565995
-1.75009e-008 0.0511097
-1.74009e-008 0.0455681
-1.73009e-008 0.0325169
-1.72009e-008 0.0217444
-1.71009e-008 0.0162546
-1.70009e-008 0.0442733
-1.69009e-008 0.0493488
-1.68009e-008 0.0445323
-1.67009e-008 0.0485719
-1.66009e-008 0.00812351
-1.65009e-008 0.0269753
-1.64009e-008 0.0364011
-1.63009e-008 0.0333455
-1.62009e-008 0.0455163
-1.61009e-008 0.0240232
-1.60009e-008 0.00672516
-1.59009e-008 0.00185685
-1.58009e-008 0.0324651
-1.57009e-008 0.0364011
-1.56009e-008 0.0313775
-1.55009e-008 0.0341742
-1.54009e-008 0.00605189
-1.53009e-008 0.0276485
-1.52009e-008 0.0365047
-1.51009e-008 0.0233499
-1.50009e-008 0.0150634
-1.49009e-008 0.0322061
-1.48009e-008 0.025318
-1.47009e-008 0.00278908
-1.46009e-008 0.0311185
-1.45009e-008 0.0193621
-1.44009e-008 0.0572727
-1.43009e-008 0.0380067
-1.42009e-008 0.0181709
-1.41009e-008 0.0257841
-1.40009e-008 0.0504364
-1.39009e-008 0.024075
-1.38009e-008 0.0252144
-1.37009e-008 0.0502292
-1.36009e-008 0.0102987
-1.35009e-008 0.0259912
-1.34009e-008 0.0342259
-1.33009e-008 0.0366083
-1.32009e-008 0.0213819
-1.31009e-008 0.0043428
-1.30009e-008 0.0207086
-1.29009e-008 0.00491249
-1.28009e-008 0.042875
-1.27009e-008 0.0375923
-1.26009e-008 0.0202943
-1.25009e-008 0.0166689
-1.24009e-008 0.0116453
-1.23009e-008 -0.0100032
-1.22009e-008 0.0300827
-1.21009e-008 0.0217444
-1.20009e-008 0.0447912
-1.19009e-008 0.0226767
-1.18009e-008 0.00688054
-1.17009e-008 0.00107999
-1.16009e-008 0.0338634
-1.15009e-008 0.0229874
-1.14009e-008 0.0293576
-1.13009e-008 0.0331383
-1.12009e-008 0.0202425
-1.11009e-008 0.0289433
-1.10009e-008 0.03521
-1.09009e-008 0.0296166
-1.08009e-008 0.0607427
-1.07009e-008 0.0223141
-1.06009e-008 0.033967
-1.05009e-008 -0.00860484
-1.04009e-008 0.0327758
-1.03009e-008 0.00786456
-1.02009e-008 0.0427196
-1.01009e-008 0.0383692
-1.00009e-008 0.00631084
-9.90094e-009 0.0252662
-9.80094e-009 0.0366083
-9.70094e-009 0.0321025
-9.60094e-009 0.047329
-9.50094e-009 0.00952185
-9.40094e-009 0.01641
-9.30094e-009 0.015426
-9.20094e-009 0.0519901
-9.10094e-009 0.00615547
-9.00094e-009 0.0430821
-8.90094e-009 0.0121632
-8.80094e-009 0.00615547
-8.70094e-009 0.00346236
-8.60094e-009 0.0176012
-8.50094e-009 0.0466039
-8.40094e-009 0.0330348
-8.30094e-009 0.0455681
-8.20094e-009 0.0187406
-8.10094e-009 0.0405962
-8.00094e-009 0.0519901
-7.90094e-009 0.0185334
-7.80094e-009 0.0545278
-7.70094e-009 0.0379031
-7.60094e-009 0.0338634
-7.50094e-009 0.018637
-7.40094e-009 0.0192585
-7.30094e-009 0.0341224
-7.20094e-009 0.0210194
-7.10094e-009 0.0332419
-7.00094e-009 0.00905574
-6.90094e-009 0.0123703
-6.80094e-009 0.0507471
-6.70094e-009 -0.00290788
-6.60094e-009 0.0345885
-6.50094e-009 0.0509025
-6.40094e-009 0.0273896
-6.30094e-009 -5.93975e-005
-6.20094e-009 0.0189477
-6.10094e-009 0.017394
-6.00094e-009 0.0614678
-5.90094e-009 0.0140276
-5.80094e-009 0.000717461
-5.70094e-009 0.0154778
-5.60094e-009 0.0271306
-5.50094e-009 0.00258192
-5.40094e-009 0.0446876
-5.30094e-009 0.0103505
-5.20094e-009 0.0294094
-5.10094e-009 0.0181191
-5.00094e-009 0.0350028
-4.90094e-009 0.0182745
-4.80094e-009 0.0338116
-4.70094e-009 0.0100398
-4.60094e-009 0.00413564
-4.50094e-009 0.0157367
-4.40094e-009 0.0354689
-4.30094e-009 0.0230392
-4.20094e-009 0.0121632
-4.10094e-009 0.058205
-4.00094e-009 0.0285808
-3.90094e-009 0.011956
-3.80094e-009 0.0440661
-3.70094e-009 0.027286
-3.60094e-009 0.0162546
-3.50094e-009 0.0299273
-3.40094e-009 0.0270271
-3.30094e-009 0.00185685
-3.20094e-009 0.041632
-3.10094e-009 0.038162
-3.00094e-009 0.0336045
-2.90094e-009 0.0188442
-2.80094e-009 0.0163064
-2.70094e-009 0.0447912
-2.60094e-009 0.0383174
-2.50094e-009 0.0188442
-2.40094e-009 0.0271824
-2.30094e-009 0.0403372
-2.20094e-009 -0.00560099
-2.10094e-009 0.0240232
-2.00094e-009 0.0389389
-1.90094e-009 0.0198282
-1.80094e-009 0.0419945
-1.70094e-009 0.0251108
-1.60094e-009 0.00812351
-1.50094e-009 -0.000939837
-1.40094e-009 0.0447394
-1.30094e-009 0.0475879
-1.20094e-009 0.0609499
-1.10094e-009 0.0214337
-1.00094e-009 0.0166689
-9.00939e-010 0.0184298
-8.00939e-010 0.0274932
-7.00939e-010 -0.0106247
-6.00939e-010 0.0443769
-5.00939e-010 0.00123537
-4.00939e-010 0.0048607
-3.00939e-010 -0.0189112
-2.00939e-010 -0.018704
-1.00939e-010 -0.0159591
-9.39311e-013 -0.0504516
9.90607e-011 -0.0853584
1.99061e-010 -0.0936449
2.99061e-010 -0.141189
3.99061e-010 -0.174542
4.99061e-010 -0.195983
5.99061e-010 -0.245857
6.99061e-010 -0.285322
7.99061e-010 -0.365338
8.99061e-010 -0.395791
9.99061e-010 -0.442506
1.09906e-009 -0.485596
1.19906e-009 -0.523817
1.29906e-009 -0.580839
1.39906e-009 -0.593475
1.49906e-009 -0.648114
1.59906e-009 -0.640242
1.69906e-009 -0.660596
1.79906e-009 -0.681675
1.89906e-009 -0.661735
1.99906e-009 -0.642159
2.09906e-009 -0.633199
2.19906e-009 -0.604248
2.29906e-009 -0.533502
2.39906e-009 -0.502272
2.49906e-009 -0.474254
2.59906e-009 -0.398225
2.69906e-009 -0.332555
2.79906e-009 -0.31158
2.89906e-009 -0.257562
2.99906e-009 -0.26357
3.09906e-009 -0.234981
3.19906e-009 -0.176717
3.29906e-009 -0.148802
3.39906e-009 -0.181119
3.49906e-009 -0.176251
3.59906e-009 -0.152324
3.69906e-009 -0.161128
3.79906e-009 -0.169052
3.89906e-009 -0.154602
3.99906e-009 -0.148646
4.09906e-009 -0.164287
4.19906e-009 -0.167343
4.29906e-009 -0.165582
4.39906e-009 -0.156519
4.49906e-009 -0.118194
4.59906e-009 -0.0951986
4.69906e-009 -0.127102
4.79906e-009 -0.109286
4.89906e-009 -0.0889838
4.99906e-009 -0.0705463
5.09906e-009 -0.0821992
5.19906e-009 -0.0211899
5.29906e-009 -0.0693551
5.39906e-009 -0.043926
5.49906e-009 -0.0314963
5.59906e-009 -0.0463601
5.69906e-009 -0.0157519
5.79906e-009 -0.000525512
5.89906e-009 -0.0401453
5.99906e-009 -0.0645386
6.09906e-009 -0.0595149
6.19906e-009 -0.058272
6.29906e-009 -0.0362092
6.39906e-009 -0.0262654
6.49906e-009 -0.071116
